Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional,Drafted
Tyrion Ingram-Dawkins,DT,Georgia,College Stats,5-Jun,276,4.86,36,,124,7.28,4.34,Minnesota Vikings / 5th / 139th pick / 2025,IngrTy00,1
Ulysses Bentley IV,RB,Mississippi,College Stats,10-May,201,4.62,32.5,,117,,,,BentUl00,0
Jared Ivey,EDGE,Mississippi,College Stats,6-Jun,274,,,,,,,,IveyJa00,0
Cam Jackson,DT,Florida,College Stats,6-Jun,328,5.17,24.5,,93,,,Carolina Panthers / 5th / 140th pick / 2025,JackCa01,1
Daniel Jackson,WR,Minnesota,College Stats,11-May,193,,,,,6.78,4.07,,JackDa03,0
Donovan Jackson,G,Ohio St.,College Stats,4-Jun,315,,,,,,,Minnesota Vikings / 1st / 24th pick / 2025,JackDo03,1
Ja'Quinden Jackson,RB,Arkansas,College Stats,2-Jun,229,,32,,119,7.19,4.36,,JackJa05,0
Landon Jackson,EDGE,Arkansas,College Stats,6-Jun,264,4.68,40.5,,129,,,Buffalo Bills / 3rd / 72nd pick / 2025,JackLa03,1
Jordan James,RB,Oregon,College Stats,10-May,205,4.55,,,117,,,San Francisco 49ers / 5th / 147th pick / 2025,JameJo01,1
Shemar James,LB,Florida,College Stats,1-Jun,222,4.69,32,,117,7.09,4.27,Dallas Cowboys / 5th / 152nd pick / 2025,JameSh00,1
Ashton Jeanty,RB,Boise St.,College Stats,9-May,211,,,,,,,Las Vegas Raiders / 1st / 6th pick / 2025,JeanAs00,1
Kaleb Johnson,RB,Iowa,College Stats,1-Jun,224,4.57,,,,,,Pittsburgh Steelers / 3rd / 83rd pick / 2025,JohnKa03,1
Tez Johnson,WR,Oregon,College Stats,10-May,154,4.51,37,,131,6.65,4.15,Tampa Bay Buccaneers / 7th / 235th pick / 2025,JohnTe03,1
Will Johnson,CB,Michigan,College Stats,2-Jun,194,,,,,,,Arizona Cardinals / 2nd / 47th pick / 2025,JohnWi02,1
Emery Jones Jr.,OT,LSU,College Stats,5-Jun,315,,,,,,,Baltimore Ravens / 3rd / 91st pick / 2025,JoneEm02,1
Sai'vion Jones,EDGE,LSU,College Stats,5-Jun,280,,33,19,119,,,Denver Broncos / 3rd / 101st pick / 2025,JoneSa01,1
Jah Joyner,EDGE,Minnesota,College Stats,4-Jun,262,4.6,30,,,7.33,4.68,,JoynJa00,0
Kelvin Banks Jr.,OT,Texas,College Stats,5-Jun,315,5.16,32,,104,7.81,4.66,New Orleans Saints / 1st / 9th pick / 2025,BankKe01,1
Billy Bowman Jr.,SAF,Oklahoma,College Stats,10-May,192,4.42,35.5,17,123,,,Atlanta Falcons / 4th / 118th pick / 2025,BowmBi01,1
Sam Brown Jr.,WR,Miami,College Stats,2-Jun,200,4.44,41.5,,,,,,BrowSa01,0
Harold Fannin Jr.,TE,Bowling Green,College Stats,3-Jun,241,4.71,34,22,118,6.97,4.39,Cleveland Browns / 3rd / 67th pick / 2025,FannHa00,1
