Season,Id,Name,Position,Team,Conference,AveragePPA All,AveragePPA Pass,AveragePPA Rush,AveragePPA FirstDown,AveragePPA SecondDown,AveragePPA ThirdDown,AveragePPA StandardDowns,AveragePPA PassingDowns,TotalPPA All,TotalPPA Pass,TotalPPA Rush,TotalPPA FirstDown,TotalPPA SecondDown,TotalPPA ThirdDown,TotalPPA StandardDowns,TotalPPA PassingDowns,Ranking
2025,5227762,Athean Renfro,RB,Texas Southern,,0.088,0.291,0.083,0.157,-0.136,0.343,0.111,-0.127,10.996,0.874,10.122,13.228,-4.634,2.402,12.523,-1.527,247
2025,5227770,Brendon McQueen,WR,Missouri State,CUSA,-0.408,-0.408,,-0.877,,0.061,-0.877,0.061,-0.817,-0.817,0,-0.877,0,0.061,-0.877,0.061,1793
2025,5227784,Jeron Askren,TE,Missouri State,CUSA,0.423,0.423,,0.643,0.153,-0.116,0.41,0.487,7.608,7.608,0,7.073,0.767,-0.232,6.147,1.461,235
2025,5227785,Tae Marrero Jr.,WR,Southern Illinois,,0.379,0.379,,-0.004,-0.02,0.624,0.392,0.363,5.312,5.312,0,-0.018,-0.081,2.495,3.135,2.177,1083
2025,5227788,ET Harris,QB,Southern Illinois,,0.211,,0.211,0.211,,,0.211,,0.211,0,0.211,0.211,0,0,0.211,0,524
2025,5227793,Jerrian Parker,RB,Sam Houston,CUSA,-0.679,,-0.679,-1.162,-0.173,-0.703,-1.162,-0.438,-2.037,0,-2.037,-1.162,-0.173,-0.703,-1.162,-0.875,919
2025,5227809,Sammy Dresie,WR,South Dakota State,,0.613,0.613,,0.37,0.734,,0.867,0.105,1.839,1.839,0,0.37,1.469,0,1.733,0.105,1435
2025,5227810,Jack Henry,QB,South Dakota State,,0.087,0.09,0.32,-0.089,-0.122,0.45,-0.03,0.256,11.896,9.548,8.642,-4.717,-5.138,14.853,-2.463,14.36,343
2025,5227812,Jack Smith,WR,South Dakota State,,0.519,0.407,1.579,1.308,0.538,0.064,0.467,0.567,21.801,15.484,6.317,11.77,9.678,0.767,9.333,12.468,435
2025,5227814,Maxwell Woods,RB,Washington State,PAC,0.085,0.192,0.017,-0.033,-0.054,0.685,0.005,0.291,4.575,4.024,0.551,-0.919,-0.913,5.482,0.209,4.365,418
2025,5227818,Brayden Delahoyde,TE,South Dakota State,,-0.281,-0.281,,,-0.281,,,-0.281,-0.281,-0.281,0,0,-0.281,0,0,-0.281,702
2025,5227824,Beau Baker,TE,Washington State,PAC,2.673,2.673,,,,2.673,2.673,,2.673,2.673,0,0,0,2.673,2.673,0,442
2025,5227838,Lofton O'Groske,WR,South Dakota State,,0.566,0.322,1.606,0.642,0.208,0.835,0.694,0.023,11.893,5.468,6.426,6.416,1.249,1.671,11.803,0.09,724
2025,5227845,LJ Green,WR,Murray State,,0.345,0.345,,0.345,,,0.345,,0.345,0.345,0,0.345,0,0,0.345,0,1639
2025,5227849,Jordan Washington,RB,Murray State,,0.028,0.026,0.028,0.03,-0.102,0.62,0.098,-0.196,2.175,0.449,1.725,1.189,-2.86,6.82,5.906,-3.731,536
2025,5227852,Cam Young,RB,Central Arkansas,,0.077,-0.52,0.123,-0.175,0.534,-0.179,0.294,-0.466,2.147,-1.039,3.186,-1.4,5.339,-1.791,5.872,-3.725,538
2025,5227853,Tyrell Campbell,RB,Murray State,,0.429,0.209,0.466,0.032,0.512,1.371,0.284,0.79,3.002,0.209,2.794,0.096,1.535,1.371,1.422,1.58,485
2025,5227854,Baxter Wright,QB,Murray State,,0.132,0.156,0.071,-0.044,0.277,0.266,0,0.369,14.728,12.471,2.257,-2.097,10.796,5.311,-0.021,14.749,321
2025,5227869,Huseyin Simsir,TE,Murray State,,0.515,0.515,,0.107,,0.067,0.107,1.128,2.577,2.577,0,0.321,0,0.067,0.321,2.256,450
2025,5227872,Deng Deng,WR,North Dakota,,0.517,0.517,,0.397,0.422,0.88,0.577,0.388,11.368,11.368,0,3.175,3.796,4.398,8.649,2.719,741
